"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/Consumable.js", "JavaScript", 39, 1, 16, 56
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/EnvObject.js", "JavaScript", 15, 2, 14, 31
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/Menus.js", "JavaScript", 24, 0, 21, 45
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/Options.js", "JavaScript", 35, 1, 14, 50
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/Player.js", "JavaScript", 521, 178, 200, 899
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/Skeleton.js", "JavaScript", 382, 83, 159, 624
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/TileMap.js", "JavaScript", 332, 37, 115, 484
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/UserInterface.js", "JavaScript", 133, 11, 34, 178
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/attackbox.js", "JavaScript", 7, 0, 8, 15
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/example.js", "JavaScript", 0, 0, 1, 1
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/foodUtils.js", "JavaScript", 69, 30, 43, 142
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/musics.js", "JavaScript", 20, 0, 7, 27
"/Users/michaelshih/Documents/AppAc Repos/JS project/ravine_proj/src/scripts/utils.js", "JavaScript", 54, 45, 43, 142
"Total", "-", 1631, 388, 675, 2694